pkey,NobatAmargiri,F2Kol_DJAYGOZIN,F2_D01,F2_D03,F2_D04,F2_D06,F2_D07,F2_D08,F2_D09,F2_D10,F2_D11,F2_D12,F2_D13,F2_D14,F2_D15,F2_D16,F2_D17,F2_D18,F2_D19,F3_D01,F3_D02,F3_D03,F3_D04,F3_D05,F3_D06,F3_D07,F3_D08,F3_D09,F3_D10,F3_D11,F3_D12,F3_D13,F3_D14SAL,F3_D14MAH,F3_D15SAL,F3_D15MAH,F3_D16SHASLIR,F3_D16SHASLIS,F3_D16SHHAMRO,F3_D16SHHAMSA,F3_D17,F3_D18SHANBEH,F3_D18YEKSHAN,F3_D18DOSHANB,F3_D18SESHANB,F3_D18CHARSHA,F3_D18PANSHAN,F3_D18JOMEH,F3_D18JAM,F3_D19,F3_D20,F3_D21,F3_D22,F3_D23,F3_D24,F3_D25,F3_D26,F3_D27ROZ,F3_D27SAAT,F3_D28,F3_D29,F3_D30,F3_D31,F3_D1_32,F3_D2_32,F3_D3_32,F3_D4_32,F3_D5_32,F3_D6_32,F3_D7_32,F3_D8_32,F3_D9_32,F3_D33,F3_D34,F3_D35SAL,F3_D35MAH,F3_D36,F3_D37SAL,F3_D37MAH,F3_D38,F3_D39,F3_D40SAL,F3_D40MAH,F3_D41,F3_D42,F3_D43,F3_D44,F3_D45,F3_D46,F3_D47,F3_D48SAAT,F3_D48ROZ,F3_D49,F3_D50,IW_Yearly,ActivityStatus
0200100162,4,2,02,2,2,58,43,1,1,2, , ,  , ,2,1,4,02,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,167.160161610222,3
0200100162,4,2,03,3,2,79,22,1,1,2, , ,  , ,1,1,6,04,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,09, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,1,   , , , ,167.160161610222,3
0200100162,4,2,04,3,1,90,11,1,1,2, , ,  , ,1,1,2,,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,09, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,1,   , , , ,167.160161610222,3
0200100163,4,2,01,1,1,36,65,1,1,2, , ,  , ,2,1,5,07,1,1, , , , , ,  ,2,11,25,04,2,2,35,00,35,00,6,072,6,072, ,12,12,12,12,12,12,00,072, , ,2, , ,2, , ,5,072,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , , ,   , , , ,104.9162302241,1
0200100163,4,2,02,2,2,34,67,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,104.9162302241,3
0200100163,4,2,03,3,2,52,49,1,1,2, , ,  , ,2,1,6,03,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,104.9162302241,3
0200100164,3,2,01,1,2,47,54,1,1,2, , ,  , ,2,1,4,02,2,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,138.199289295609,3
0200100164,4,2,01,1,2,47,54,1,1,2, , ,  , ,2,1,1,,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,138.63337115137,3
0200100165,3,2,01,1,1,37,64,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,08, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,156.432942077124,3
0200100165,3,2,02,2,2,37,64,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,156.432942077124,3
0200100165,3,2,03,3,2,66,35,1,1,2, , ,  , ,2,1,6,03,4,1, , , , , ,  ,2,52,47,02,1,2,06,00,06,00,7,056,7,056, ,08,08,08,08,08,08,08,056, , ,2, , ,2, , ,7,056,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , , ,   , , , ,156.432942077124,1
0200100165,4,2,01,1,1,37,64,1,1,2, , ,  , ,2,1,2,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,155.06664165796,3
0200100165,4,2,02,2,2,37,64,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,155.06664165796,3
0200100165,4,2,03,3,2,66,36,1,1,2, , ,  , ,2,1,6,03,4,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,155.06664165796,3
0200100166,3,2,01,1,1,22,80,1,1,2, , ,  , ,2,1,5,02,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,08, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,99.2280816354076,3
0200100166,3,2,02,2,2,28,74,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,99.2280816354076,3
0200100166,4,2,01,1,1,22,80,1,1,2, , ,  , ,2,1,4,02,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,106.517079967551,3
0200100166,4,2,02,2,2,28,74,1,1,2, , ,  , ,2,1,1,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,106.517079967551,3
0200100167,3,2,01,1,1,65,37,1,1,2, , ,  , ,2,1,6,07,1,1, , , , , ,  ,2,52,25,04,5,1,15,00,17,00,6,060,6,060, ,10,10,10,10,10,10,00,060, , ,2, , ,2, , ,6,060,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , , ,   , , , ,166.181233448805,1
0200100167,3,2,02,2,2,62,39,1,1,2, , ,  , ,2,1,6,06,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,166.181233448805,3
0200100167,3,2,03,3,2,93,08,1,1,2, , ,  , ,1,1,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.181233448805,
0200100167,4,2,01,1,1,65,37,1,1,2, , ,  , ,2,1,6,07,1,1, , , , , ,  ,2,52,43,04,4,1,15,08,17,08,6,054,6,054, ,09,09,09,09,09,09,00,54 , , ,2, , ,2, , ,6,048,  ,  ,  , , , , , , , , , , ,  , ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , , ,   , , , ,163.723358289812,1
0200100167,4,2,02,2,2,62,40,1,1,2, , ,  , ,2,1,6,06,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,, , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , ,,  ,  ,  ,  ,  ,  , , ,2,   , , , ,163.723358289812,3
0200100167,4,2,03,3,2,93,09,1,1,2, , ,  , ,1,1,1,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.723358289812,
0200100168,3,2,01,1,1,50,52,1,1,2, , ,  , ,2,1,4,07,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,11, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,3,   , , , ,166.181233448805,3
0200100168,3,2,02,2,2,56,46,1,1,2, , ,  , ,2,1,2,,1,2,2,2,2,2,2,  , ,  ,  ,  , , ,  ,  ,  ,  , ,   , ,   , ,  ,  ,  ,  ,  ,  ,  ,   , , , , , , , , , ,   ,  ,  ,  ,2, , , , , , , , , ,10, ,  ,  , ,  ,  , , ,  ,  ,  ,  ,  ,  , , ,2,   , , , ,166.181233448805,3
